,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing
67,girok,noisrucer/girok,https://github.com/noisrucer/girok,https://github.com/noisrucer/girok,GPL-3.0,2023-03-23 08:52:57,2023-10-02 08:32:28,2023-10-02 08:32:28,133,1.0,9.0,9,13.0,12.0,22.0,437,2023-04-13 14:24:59,0.1.16,,,7.0,A powerful and beautiful CLI scheduler.,,,,11,True,others,3
68,elia,darrenburns/elia,https://github.com/darrenburns/elia,https://github.com/darrenburns/elia,,2023-05-04 20:34:55,2023-12-18 23:58:36,2023-12-18 23:57:58,87,9.0,18.0,6,6.0,9.0,4.0,250,2023-12-18 23:58:36,0.5.0,,,4.0,A terminal ChatGPT client built with Textual.,,,4.0,11,False,others,3
69,Instrukt,blob42/Instrukt,https://github.com/blob42/Instrukt,https://github.com/blob42/Instrukt,AGPL-3.0,2023-04-05 01:29:31,2023-09-02 10:27:26,2023-09-02 10:27:20,249,,20.0,7,1.0,3.0,2.0,202,2023-09-01 10:25:00,0.6.2,20.0,3.0,3.0,"Integrated AI environment in the terminal. Build, test and instruct agents.",,,,11,True,others,3
70,django-tui,anze3db/django-tui,https://github.com/anze3db/django-tui,https://github.com/anze3db/django-tui,MIT,2023-08-23 15:56:59,2023-12-19 17:17:28,2023-12-19 17:14:20,77,47.0,1.0,5,3.0,,1.0,158,2023-12-19 17:17:28,23.9,,,10.0,Inspect and run Django Commands in a text-based user interface (TUI).,5.0,5.0,2.0,11,True,others,3
71,textual-autocomplete,darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,MIT,2022-11-22 16:49:26,2023-08-28 18:15:31,2023-06-26 08:37:12,90,,13.0,3,7.0,8.0,6.0,121,2023-03-28 10:00:13,2.1.0b0,,,6.0,Easily add autocomplete dropdowns to your Textual apps.,18.0,18.0,5.0,11,True,others,3
72,logmerger,ptmcg/logmerger,https://github.com/ptmcg/logmerger,https://github.com/ptmcg/logmerger,MIT,2023-05-09 13:25:45,2023-12-10 21:30:50,2023-12-10 21:30:50,114,38.0,3.0,2,2.0,7.0,19.0,103,2023-12-07 09:22:28,0.8.0,17.0,5.0,9.0,TUI utility to view multiple log files with merged timeline.,,,2.0,11,True,others,3
73,nonebot-plugin-access-control,bot-ssttkkl/nonebot-plugin-access-control,https://github.com/bot-ssttkkl/nonebot-plugin-access-control,https://github.com/bot-ssttkkl/nonebot-plugin-access-control,MIT,2022-12-08 09:50:46,2023-12-04 18:18:15,2023-11-26 15:16:51,139,24.0,1.0,1,17.0,2.0,6.0,32,2023-11-26 15:18:17,1.1.5,6.0,0.0,18.0,Nonebot.,8.0,8.0,,11,True,others,3
74,codelimit,getcodelimit/codelimit,https://github.com/getcodelimit/codelimit,https://github.com/getcodelimit/codelimit,ISC,2022-10-29 12:57:44,2023-12-03 21:41:07,2023-12-03 21:41:06,171,3.0,1.0,1,16.0,1.0,10.0,30,2023-10-07 10:34:03,0.7.0,102.0,7.0,13.0,Your Refactoring Alarm.,,,4.0,11,True,others,3
75,manifestoo,acsone/manifestoo,https://github.com/acsone/manifestoo,https://github.com/acsone/manifestoo,MIT,2021-04-29 09:25:47,2023-12-18 21:31:07,2023-11-02 10:06:35,212,4.0,15.0,15,51.0,7.0,5.0,27,2023-02-07 12:55:39,0.7,,,6.0,A tool to reason about Odoo addons manifests.,,,8.0,11,True,others,3
76,plutus-core-semantics,runtimeverification/plutus-core-semantics,https://github.com/runtimeverification/plutus-core-semantics,https://github.com/runtimeverification/plutus-core-semantics,BSD-3-Clause,2017-06-04 15:06:49,2023-12-21 18:59:25,2023-05-02 22:42:41,489,,4.0,27,302.0,36.0,76.0,26,,,,,,,,,18.0,11,False,others,3
77,jenkins-tui,chelnak/jenkins-tui,https://github.com/chelnak/jenkins-tui,https://github.com/chelnak/jenkins-tui,MIT,2021-10-04 17:03:17,2021-12-13 11:41:36,2021-12-13 11:41:36,76,,6.0,3,39.0,6.0,43.0,25,2021-11-27 09:28:56,0.2.2,,,12.0,An interactive TUI for Jenkins.,,,3.0,11,False,others,3
78,textual-paint,1j01/textual-paint,https://github.com/1j01/textual-paint,https://github.com/1j01/textual-paint,MIT,2023-04-10 22:26:49,2023-09-22 17:30:09,2023-09-22 00:34:03,1473,,10.0,4,,4.0,2.0,842,,,,,,MS Paint in your terminal.,,,,10,True,others,3
79,macnotesapp,RhetTbull/macnotesapp,https://github.com/RhetTbull/macnotesapp,https://github.com/RhetTbull/macnotesapp,MIT,2022-07-15 17:25:40,2023-09-03 16:05:48,2023-09-03 16:05:45,79,,3.0,7,10.0,23.0,7.0,93,2023-08-22 14:36:38,0_5_3,93.0,5.0,9.0,Work with Apple MacOS Notes.app from the command line. Also includes python interface for scripting Notes.app from..,1.0,1.0,3.0,10,True,others,3
80,kaskade,sauljabin/kaskade,https://github.com/sauljabin/kaskade,https://github.com/sauljabin/kaskade,MIT,2021-09-15 22:09:16,2023-11-22 17:24:05,2023-11-22 17:24:05,230,1.0,6.0,5,1.0,9.0,6.0,84,2022-07-27 01:12:10,1.1.8,100.0,3.0,16.0,kafka text user interface in style!.,1.0,1.0,2.0,10,True,others,3
81,filequery,MarkyMan4/filequery,https://github.com/MarkyMan4/filequery,https://github.com/MarkyMan4/filequery,MIT,2023-02-12 23:46:00,2023-12-16 16:11:58,2023-12-16 16:11:54,86,40.0,1.0,1,9.0,16.0,13.0,77,2023-12-15 04:43:28,0.2.2,1.0,1.0,4.0,"Query CSV, JSON and Parquet files with SQL.",,,,10,True,others,3
82,nettowel,InfrastructureAsCode-ch/nettowel,https://github.com/InfrastructureAsCode-ch/nettowel,https://github.com/InfrastructureAsCode-ch/nettowel,Apache-2.0,2022-02-19 17:03:39,2023-12-19 21:08:58,2023-10-29 13:38:15,78,3.0,5.0,4,25.0,,,54,2023-05-30 07:42:39,0.5.1,,,2.0,Collection of useful network automation functions.,,,2.0,10,True,others,3
83,curator,AlexAltea/curator,https://github.com/AlexAltea/curator,https://github.com/AlexAltea/curator,Apache-2.0,2023-01-06 22:02:49,2023-10-31 15:25:41,2023-10-31 15:25:38,106,7.0,2.0,3,,3.0,13.0,53,,,,,,Automated normalization and curating of media collections.,37.0,37.0,,10,True,others,3
84,adapter-console,nonebot/adapter-console,https://github.com/nonebot/adapter-console,https://github.com/nonebot/adapter-console,,2022-04-30 11:57:42,2023-12-06 02:43:49,2023-12-06 02:43:46,50,5.0,3.0,2,24.0,,3.0,29,2023-07-26 14:57:39,0.4.0,31.0,2.0,4.0,NoneBot2 / Console adapter for nonebot2.,28.0,28.0,7.0,10,False,others,3
85,baca,wustho/baca,https://github.com/wustho/baca,https://github.com/wustho/baca,GPL-3.0,2023-03-24 09:05:32,2023-11-21 00:41:46,2023-11-21 00:41:46,74,1.0,4.0,6,4.0,3.0,10.0,260,,,,,,TUI Ebook Reader.,13.0,13.0,2.0,9,True,others,3
86,wtpython,VagishVela/wtpython,https://github.com/VagishVela/wtpython,https://github.com/VagishVela/wtpython,MIT,2021-07-09 14:30:30,2023-06-05 13:50:28,2021-11-24 11:35:58,342,,11.0,2,150.0,15.0,42.0,145,,,,,1.0,Automatically find solutions when your Python code encounters an issue.,,,10.0,9,False,others,3
87,TenBagger,AramKoorn/TenBagger,https://github.com/AramKoorn/TenBagger,https://github.com/AramKoorn/TenBagger,Apache-2.0,2021-02-06 14:46:39,2022-05-08 14:37:06,2022-05-08 14:37:00,122,,4.0,1,8.0,3.0,4.0,56,2021-11-14 20:57:53,0.8.1,,,9.0,Analyse your stocks and crypto as one portfolio.,,,,9,False,others,3
88,humble-explorer,koenvervloesem/humble-explorer,https://github.com/koenvervloesem/humble-explorer,https://github.com/koenvervloesem/humble-explorer,MIT,2022-12-01 11:12:00,2023-11-25 18:19:50,2023-11-25 18:19:46,96,1.0,,4,51.0,,3.0,41,2023-03-19 19:20:46,0.5.0,,,9.0,"Cross-platform, command-line and human-friendly Bluetooth Low Energy scanner.",,,,9,True,others,3
89,ai-rag-chat-evaluator,Azure-Samples/ai-rag-chat-evaluator,https://github.com/Azure-Samples/ai-rag-chat-evaluator,https://github.com/Azure-Samples/ai-rag-chat-evaluator,MIT,2023-11-21 00:47:02,2023-12-13 23:38:04,2023-12-13 23:37:58,17,17.0,7.0,31,1.0,,,25,,,,,,Tools for evaluation of RAG Chat Apps using Azure AI Evaluate SDK and OpenAI.,,,4.0,9,True,others,3
90,sqeleton,datafold/sqeleton,https://github.com/datafold/sqeleton,https://github.com/datafold/sqeleton,MIT,2022-11-22 15:48:24,2023-05-02 10:25:59,2023-05-02 10:25:59,128,,13.0,2,34.0,,,20,2023-04-03 10:07:16,0.0.8,,,3.0,,24.0,24.0,11.0,9,False,others,3
