,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
25,improv,project-improv/improv,https://github.com/project-improv/improv,https://github.com/project-improv/improv,MIT,2018-09-14 17:55:04,2024-02-27 13:47:58,2024-02-17 15:25:21,1201,83.0,10.0,4,120.0,8.0,48.0,33,2024-01-15 20:37:50,0.2.2,14.0,7.0,5.0,Adaptive Platform for Neuroscience Experiments.,7.0,7.0,22.0,19,True,others,2,3.0,
26,XHS-Downloader,JoeanAmier/XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,GPL-3.0,2023-08-16 11:03:36,2024-02-21 11:36:03,2024-02-01 07:50:07,137,30.0,360.0,14,10.0,38.0,6.0,2709,2023-12-23 02:59:43,1.7,5585.0,1117.0,8.0,/.,,,4.0,18,True,others,2,2.0,
27,RecoverPy,PabloLec/RecoverPy,https://github.com/PabloLec/RecoverPy,https://github.com/PabloLec/RecoverPy,GPL-3.0,2021-02-24 14:42:33,2024-02-26 13:58:56,2024-02-26 13:58:49,1048,104.0,50.0,14,356.0,,24.0,1145,2024-02-17 11:54:43,2.1.6,,,34.0,Interactively find and recover deleted or overwritten files from your terminal.,,,6.0,18,True,others,2,,
28,live-de-python,dunossauro/live-de-python,https://github.com/dunossauro/live-de-python,https://github.com/dunossauro/live-de-python,MIT,2017-04-26 20:48:33,2024-02-20 19:56:02,2024-02-20 19:55:57,429,11.0,199.0,81,55.0,202.0,163.0,1080,,,,,,Repositrio das lives de python semanais.,,,35.0,18,True,others,2,,
29,frogmouth,Textualize/frogmouth,https://github.com/Textualize/frogmouth,https://github.com/Textualize/frogmouth,MIT,2023-04-03 08:41:03,2023-11-29 01:29:38,2023-11-28 15:46:18,430,,32.0,12,33.0,24.0,28.0,2072,2023-11-02 20:14:13,0.9.1,,,8.0,A Markdown browser for your terminal.,5.0,5.0,5.0,17,True,others,2,,
30,iSponsorBlockTV,dmunozv04/iSponsorBlockTV,https://github.com/dmunozv04/iSponsorBlockTV,https://github.com/dmunozv04/iSponsorBlockTV,GPL-3.0,2022-01-15 18:26:33,2024-02-14 21:10:17,2024-02-14 21:07:51,231,44.0,53.0,9,52.0,22.0,64.0,889,2024-02-14 21:10:17,2.0.6,300.0,13.0,8.0,SponsorBlock client for all YouTube TV clients.,,,20.0,17,True,others,2,,
31,oterm,ggozad/oterm,https://github.com/ggozad/oterm,https://github.com/ggozad/oterm,MIT,2023-10-10 07:29:26,2024-02-29 18:04:01,2024-02-28 15:39:39,177,95.0,22.0,7,21.0,2.0,39.0,398,2024-02-28 15:41:42,0.2.3,,,12.0,a text-based terminal client for Ollama.,1.0,1.0,5.0,17,True,others,2,3.0,
32,camply,juftin/camply,https://github.com/juftin/camply,https://github.com/juftin/camply,MIT,2021-04-18 01:07:59,2024-02-22 16:04:55,2024-02-06 15:45:21,221,8.0,70.0,16,202.0,12.0,50.0,371,2024-02-06 15:45:51,0.32.2,333.0,10.0,93.0,"camply, the campsite finder - a tool to find campsites at sold out campgrounds through sites like recreation.gov.",3.0,3.0,15.0,17,True,others,2,2.0,
33,di,adriangb/di,https://github.com/adriangb/di,https://github.com/adriangb/di,MIT,2021-07-26 06:11:37,2023-10-09 21:46:21,2023-10-09 21:42:13,501,,11.0,4,66.0,8.0,40.0,260,2023-10-09 21:46:10,0.79.2,,,100.0,Pythonic dependency injection.,132.0,132.0,9.0,17,True,others,2,,
34,jpterm,davidbrochart/jpterm,https://github.com/davidbrochart/jpterm,https://github.com/davidbrochart/jpterm,MIT,2021-12-30 11:31:32,2024-02-25 09:37:08,2024-02-25 09:37:05,156,29.0,3.0,5,69.0,1.0,10.0,196,2024-02-21 15:56:10,0.2.8,3112.0,222.0,25.0,Jupyter in the terminal.,,,,17,True,others,2,,
35,nomenklatura,opensanctions/nomenklatura,https://github.com/opensanctions/nomenklatura,https://github.com/opensanctions/nomenklatura,MIT,2012-07-15 09:53:28,2024-02-27 16:50:16,2024-02-27 16:50:05,1052,43.0,33.0,18,84.0,1.0,53.0,177,,,,,,Framework and command-line tools for integrating FollowTheMoney data streams from multiple sources.,22.0,22.0,9.0,17,True,others,2,,
36,LangChain-ChatGLM-Webui,X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,Apache-2.0,2023-04-10 06:09:01,2024-02-29 08:18:57,2024-02-21 08:54:26,243,9.0,423.0,26,26.0,38.0,88.0,2777,,,,,,LangChainChatGLM-6BLLM.,,,7.0,16,True,others,2,,
37,terraform-tui,idoavrah/terraform-tui,https://github.com/idoavrah/terraform-tui,https://github.com/idoavrah/terraform-tui,Apache-2.0,2023-07-20 08:23:57,2024-01-14 14:05:58,2024-01-14 14:05:21,106,53.0,27.0,11,42.0,1.0,16.0,834,2024-01-14 14:05:58,0.12.5,,,29.0,Terraform textual UI.,1.0,1.0,4.0,16,True,others,2,,
38,Mys_Goods_Tool,Ljzd-PRO/Mys_Goods_Tool,https://github.com/Ljzd-PRO/Mys_Goods_Tool,https://github.com/Ljzd-PRO/Mys_Goods_Tool,MIT,2021-10-28 12:35:26,2023-10-11 14:20:57,2023-10-11 14:20:57,851,,72.0,7,28.0,14.0,105.0,463,2023-07-20 20:59:31,2.1.0,8335.0,297.0,26.0,| |.,,,6.0,16,True,others,2,,
39,wasm-semantics,runtimeverification/wasm-semantics,https://github.com/runtimeverification/wasm-semantics,https://github.com/runtimeverification/wasm-semantics,,2015-08-18 22:55:24,2024-02-29 17:09:36,2024-02-28 15:04:15,772,44.0,15.0,25,525.0,19.0,44.0,74,2024-02-28 15:04:28,0.1.11,,,11.0,A Prototype Formal Semantics of WebAssembly in K.,,,23.0,16,False,others,2,3.0,
40,cobib,mrossinek/cobib,https://github.com/mrossinek/cobib,https://github.com/mrossinek/cobib,MIT,2019-04-07 08:26:40,2024-02-19 20:11:09,2024-02-19 20:11:06,796,87.0,4.0,4,2.0,,,36,2023-12-15 11:59:00,4.4.0,,,8.0,Console Bibliography.,5.0,5.0,,16,True,others,2,,
41,dolphie,charles-001/dolphie,https://github.com/charles-001/dolphie,https://github.com/charles-001/dolphie,GPL-3.0,2022-09-05 00:43:48,2024-02-29 04:24:53,2024-02-29 04:21:10,209,41.0,20.0,10,17.0,,36.0,373,2024-02-29 04:24:53,4.3.2,,,35.0,Echolocate your MySQL health with real-time monitoring in the terminal.,,,4.0,15,True,others,2,,
42,markata,WaylonWalker/markata,https://github.com/WaylonWalker/markata,https://github.com/WaylonWalker/markata,MIT,2021-01-27 14:35:47,2024-01-28 01:45:41,2024-01-04 02:18:38,383,3.0,6.0,3,117.0,18.0,23.0,88,2024-01-02 17:51:43,0.8.0,4.0,0.0,17.0,A plugins all the way down static site generator written in python. Plugins all the way down means that you can..,26.0,26.0,6.0,15,True,others,2,,
43,word-search-generator,joshbduncan/word-search-generator,https://github.com/joshbduncan/word-search-generator,https://github.com/joshbduncan/word-search-generator,MIT,2021-08-13 04:08:57,2024-02-23 19:14:22,2024-02-22 18:04:33,279,26.0,22.0,2,30.0,4.0,28.0,52,2023-05-02 16:15:57,3.3.0,,,5.0,Make awesome Word Search puzzles!.,5.0,5.0,3.0,15,True,others,2,,
44,redun,insitro/redun,https://github.com/insitro/redun,https://github.com/insitro/redun,Apache-2.0,2021-11-04 00:14:09,2023-11-12 15:12:29,2023-11-07 21:47:16,335,,34.0,15,46.0,25.0,20.0,475,,,,,,Yet another redundant workflow engine.,13.0,13.0,31.0,14,True,others,2,,
45,llm-strategy,BlackHC/llm-strategy,https://github.com/BlackHC/llm-strategy,https://github.com/BlackHC/llm-strategy,MIT,2022-12-21 00:23:47,2023-12-27 19:32:16,2023-12-27 19:27:59,58,16.0,20.0,5,5.0,,,364,2023-12-27 19:31:17,2.1.1,,,6.0,Directly Connecting Python to LLMs - Dataclasses & Interfaces - LLMs.,,,,14,True,others,2,,
46,hexabyte,thetacom/hexabyte,https://github.com/thetacom/hexabyte,https://github.com/thetacom/hexabyte,GPL-3.0,2023-03-11 21:00:31,2023-12-08 22:58:02,2023-12-08 22:52:32,150,3.0,4.0,5,12.0,8.0,10.0,212,2023-12-15 18:50:02,0.8.4,52.0,5.0,11.0,"A modern, modular, and robust TUI hex editor.",4.0,4.0,,14,True,others,2,,
47,ai-rag-chat-evaluator,Azure-Samples/ai-rag-chat-evaluator,https://github.com/Azure-Samples/ai-rag-chat-evaluator,https://github.com/Azure-Samples/ai-rag-chat-evaluator,MIT,2023-11-21 00:47:02,2024-02-16 21:43:40,2024-02-16 21:42:13,86,78.0,23.0,44,29.0,2.0,22.0,76,2024-02-16 06:32:38,2024-02-15,,,1.0,Tools for evaluation of RAG Chat Apps using Azure AI Evaluate SDK and OpenAI.,,,6.0,14,True,others,2,5.0,
48,spiel,JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,MIT,2021-03-28 15:37:40,2024-02-19 22:31:20,2024-02-19 22:30:34,231,13.0,5.0,4,250.0,5.0,15.0,73,2023-04-21 23:53:02,0.5.1,,,13.0,Display richly-styled presentations using your terminal.,5.0,5.0,5.0,14,True,others,2,,
49,Avilla,GraiaProject/Avilla,https://github.com/GraiaProject/Avilla,https://github.com/GraiaProject/Avilla,MIT,2021-05-29 08:44:59,2024-02-12 06:51:41,2024-02-04 12:23:16,1070,51.0,11.0,6,35.0,25.0,91.0,139,,,,,1.0,The next-gen framework for IM development. Powered by Graia Project.,,,6.0,13,True,others,2,,
50,browsr,juftin/browsr,https://github.com/juftin/browsr,https://github.com/juftin/browsr,MIT,2023-05-03 05:26:39,2024-02-27 03:58:15,2024-02-27 03:58:14,79,11.0,8.0,4,26.0,6.0,9.0,134,2024-02-27 03:58:24,1.19.0,166.0,18.0,33.0,a pleasant file explorer in your terminal supporting remote and local filesystems.,,,4.0,13,True,others,2,,
51,textual-inputs,sirfuzzalot/textual-inputs,https://github.com/sirfuzzalot/textual-inputs,https://github.com/sirfuzzalot/textual-inputs,MIT,2021-09-07 04:48:21,2023-03-18 20:17:07,2023-03-18 20:17:01,34,,11.0,3,22.0,,17.0,94,2022-06-12 01:06:49,0.2.6,,,6.0,Textual Inputs is a collection of input widgets for the Textual TUI framework.,99.0,99.0,7.0,13,True,others,2,,
52,papyri,jupyter/papyri,https://github.com/jupyter/papyri,https://github.com/jupyter/papyri,MIT,2020-07-22 19:58:47,2024-02-28 10:35:52,2024-02-15 10:10:12,1644,117.0,15.0,13,281.0,81.0,29.0,79,,,,,,,1.0,1.0,14.0,13,False,others,2,,
53,uproot-browser,scikit-hep/uproot-browser,https://github.com/scikit-hep/uproot-browser,https://github.com/scikit-hep/uproot-browser,BSD-3-Clause,2021-07-22 03:35:43,2024-02-19 23:13:40,2023-11-28 17:35:29,151,,7.0,2,139.0,9.0,14.0,70,2023-08-09 21:20:43,0.6.5,5804.0,187.0,17.0,A TUI viewer for ROOT files.,,,9.0,13,True,others,2,,
54,codelimit,getcodelimit/codelimit,https://github.com/getcodelimit/codelimit,https://github.com/getcodelimit/codelimit,ISC,2022-10-29 12:57:44,2024-02-29 17:05:05,2024-02-29 17:05:03,190,20.0,3.0,1,18.0,2.0,10.0,32,2024-02-29 17:05:06,0.8.1,109.0,7.0,15.0,Your Refactoring Alarm.,,,5.0,13,True,others,2,,
55,config-client,amenezes/config-client,https://github.com/amenezes/config-client,https://github.com/amenezes/config-client,Apache-2.0,2019-02-12 04:30:32,2023-12-03 19:10:53,2023-12-03 19:10:45,217,1.0,14.0,4,24.0,1.0,25.0,21,2023-10-24 14:55:04,1.4.0,,,30.0,config-client package for spring cloud config and cloud foundry.,,,6.0,13,True,others,2,,
56,flameshow,laixintao/flameshow,https://github.com/laixintao/flameshow,https://github.com/laixintao/flameshow,,2023-09-24 11:21:54,2024-01-18 02:07:24,2024-01-18 02:07:24,335,11.0,14.0,7,63.0,5.0,4.0,899,2024-01-08 08:00:25,1.1.2,,,10.0,A terminal Flamegraph viewer.,,,4.0,12,False,others,3,,
57,textual-web,Textualize/textual-web,https://github.com/Textualize/textual-web,https://github.com/Textualize/textual-web,MIT,2023-08-15 13:13:44,2024-02-23 12:09:06,2024-02-20 11:08:05,131,1.0,13.0,9,19.0,13.0,6.0,561,2024-02-20 11:09:24,0.7.0,,,2.0,Run TUIs and terminals in your browser.,,,3.0,12,True,others,3,,
58,girok,noisrucer/girok,https://github.com/noisrucer/girok,https://github.com/noisrucer/girok,GPL-3.0,2023-03-23 08:52:57,2024-02-12 15:44:37,2024-02-12 15:44:33,142,9.0,10.0,9,14.0,14.0,22.0,446,2023-04-13 14:24:59,0.1.16,,,7.0,A powerful and beautiful CLI scheduler.,,,,12,True,others,3,,
59,gupshup,kraanzu/gupshup,https://github.com/kraanzu/gupshup,https://github.com/kraanzu/gupshup,MIT,2022-01-15 10:55:36,2022-11-07 03:07:37,2022-11-07 03:07:37,151,,17.0,4,,3.0,4.0,371,2022-04-17 07:21:28,1.0.0,,,2.0,A TUI chat application writtten in python.,,,,12,False,others,3,,
60,elia,darrenburns/elia,https://github.com/darrenburns/elia,https://github.com/darrenburns/elia,,2023-05-04 20:34:55,2024-01-03 08:25:01,2023-12-18 23:57:58,87,5.0,25.0,7,7.0,11.0,4.0,322,2023-12-18 23:58:36,0.5.0,,,4.0,A terminal ChatGPT client built with Textual.,,,4.0,12,False,others,3,,
61,ChatGPTerminator,AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,MIT,2023-03-13 20:14:49,2023-05-21 16:23:03,2023-05-17 06:04:05,208,,15.0,7,11.0,4.0,16.0,224,2023-05-15 18:04:00,0.1.11,,,11.0,GPTerminator provides a convenient way to interact with OpenAIs chat completion and image generation APIs using your..,,,5.0,12,True,others,3,,
62,django-tui,anze3db/django-tui,https://github.com/anze3db/django-tui,https://github.com/anze3db/django-tui,MIT,2023-08-23 15:56:59,2024-01-18 10:32:02,2024-01-18 10:29:13,83,47.0,2.0,5,4.0,,1.0,202,2024-01-18 10:32:02,24.1,,,11.0,Inspect and run Django Commands in a text-based user interface (TUI).,7.0,7.0,2.0,12,True,others,3,,
63,textual-plotext,Textualize/textual-plotext,https://github.com/Textualize/textual-plotext,https://github.com/Textualize/textual-plotext,MIT,2023-09-18 08:38:58,2023-11-06 10:24:59,2023-11-06 10:24:55,250,,1.0,7,4.0,1.0,4.0,62,2023-10-26 12:57:24,0.2.1,,,3.0,A Textual widget wrapper library for Plotext.,21.0,21.0,,12,True,others,3,-3.0,
64,0x0,mia-0/0x0,https://github.com/mia-0/0x0,https://github.com/mia-0/0x0,EUPL-1.2,2016-11-01 04:26:54,2023-06-04 04:37:32,2023-06-04 04:35:11,82,,124.0,26,10.0,,,1678,,,,,,No-bullshit file hosting and URL shortening service. Mirror of https://git.0x0.st/mia/0x0.,,,7.0,11,True,others,3,,
65,textual-paint,1j01/textual-paint,https://github.com/1j01/textual-paint,https://github.com/1j01/textual-paint,MIT,2023-04-10 22:26:49,2024-02-01 23:01:35,2024-02-01 23:00:00,1499,9.0,11.0,4,,4.0,2.0,878,,,,,,MS Paint in your terminal.,,,,11,True,others,3,,
66,Instrukt,blob42/Instrukt,https://github.com/blob42/Instrukt,https://github.com/blob42/Instrukt,AGPL-3.0,2023-04-05 01:29:31,2023-09-02 10:27:26,2023-09-02 10:27:20,249,,21.0,7,1.0,3.0,2.0,208,2023-09-01 10:25:00,0.6.2,20.0,2.0,3.0,"Integrated AI environment in the terminal. Build, test and instruct agents.",,,,11,True,others,3,,
67,pdfalyzer,michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,GPL-3.0,2022-09-14 18:51:50,2023-11-15 23:02:37,2023-11-15 23:02:35,166,,18.0,4,4.0,1.0,7.0,207,2023-11-15 19:49:03,1.14.5,12.0,0.0,37.0,Analyze PDFs. With colors. And Yara.,,,4.0,11,True,others,3,,
68,textual-autocomplete,darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,MIT,2022-11-22 16:49:26,2024-02-12 02:00:52,2023-06-26 08:37:12,90,,13.0,2,8.0,7.0,7.0,127,2023-03-28 10:00:13,2.1.0b0,,,6.0,Easily add autocomplete dropdowns to your Textual apps.,20.0,20.0,5.0,11,True,others,3,,
69,filequery,MarkyMan4/filequery,https://github.com/MarkyMan4/filequery,https://github.com/MarkyMan4/filequery,MIT,2023-02-12 23:46:00,2024-02-29 05:08:02,2024-02-29 04:12:39,100,31.0,3.0,1,13.0,16.0,16.0,98,2024-01-20 16:30:00,0.2.3,1.0,0.0,5.0,"Query CSV, JSON and Parquet files with SQL.",,,,11,True,others,3,,
